code_op;nom_op;num_site;id_site_partage;id_station_anfr;x;y;latitude;longitude;nom_reg;nom_dep;insee_dep;nom_com;insee_com;site_2g;site_3g;site_4g;site_5g;mes_4g_trim;site_ZB;site_DCC;site_strategique;site_capa_240mbps;date_ouverturecommerciale_5g;site_5g_700_m_hz;site_5g_800_m_hz;site_5g_1800_m_hz;site_5g_2100_m_hz;site_5g_3500_m_hz
20801;Orange;00000286R1;;0762290183;499517;6943506;49,55917;0,22972;Normandie;Seine-Maritime;76;Épouville;76238;1;1;1;1;0;0;0;0;1;2022-12-22;0;0;0;0;1
20801;Orange;00000287Z1;;0142290169;454816;6901854;49,16945;-0,36278;Normandie;Calvados;14;Caen;14118;1;1;1;1;0;0;0;0;1;2021-06-07;0;0;0;0;1
20801;Orange;00000288R1;;0272290174;583759;6867463;48,89667;1,41444;Normandie;Eure;27;La Couture-Boussey;27183;1;1;1;0;0;0;0;0;0;;0;0;0;0;0
20801;Orange;00000289R1;;0762290302;573234;6951165;49,64694;1,24556;Normandie;Seine-Maritime;76;Cottévrard;76188;1;1;1;0;0;0;0;0;0;;0;0;0;0;0
20801;Orange;00000289Z1;;0142290217;447657;6905070;49,19555;-0,46278;Normandie;Calvados;14;Carpiquet;14137;1;1;1;1;0;0;0;0;1;2021-06-07;0;0;0;0;1
20801;Orange;00000290R1;;0762290179;589851;6961240;49,74055;1,47278;Normandie;Seine-Maritime;76;Neufchâtel-en-Bray;76462;1;1;1;0;0;0;0;0;0;;0;0;0;0;0
20801;Orange;00000290Z1;;0142290231;499149;6897199;49,14306;0,24694;Normandie;Calvados;14;Lisieux;14366;1;1;1;1;0;0;0;0;1;2022-04-29;0;0;0;0;1
20801;Orange;00000291Z1;;0142290208;497635;6898550;49,15472;0,22555;Normandie;Calvados;14;Lisieux;14366;1;1;1;1;0;0;0;0;1;2023-03-20;0;0;0;0;1
20801;Orange;00000292Z1;;0142290150;499508;6895269;49,12583;0,25278;Normandie;Calvados;14;Beuvillers;14069;1;1;1;1;0;0;0;0;1;2022-08-19;0;0;0;0;1
20801;Orange;00000293Z1;;0502290089;362213;6960662;49,655;-1,67805;Normandie;Manche;50;Cherbourg-en-Cotentin;50129;1;1;1;1;0;0;0;0;1;2021-07-30;0;0;0;0;1
20801;Orange;00000294Z1;;0502290096;358629;6962920;49,67333;-1,72944;Normandie;Manche;50;La Hague;50041;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000295Z1;;0502290126;368521;6959548;49,64833;-1,59;Normandie;Manche;50;Cherbourg-en-Cotentin;50129;0;1;1;1;0;0;0;0;1;2023-07-24;0;0;0;0;1
20801;Orange;00000296Z1;;0142290131;443565;6906489;49,20667;-0,51972;Normandie;Calvados;14;Thue et Mue;14098;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000297Z1;;0612290039;483035;6864459;48,84361;0,04306;Normandie;Orne;61;Trun;61494;1;1;1;0;0;0;0;0;0;;0;0;0;0;0
20801;Orange;00000298Z1;;0612290040;537709;6816668;48,43;0,80584;Normandie;Orne;61;Rémalard en Perche;61345;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000299Z1;;0612290125;537231;6811307;48,38167;0,80139;Normandie;Orne;61;Sablons sur Huisne;61116;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000300R1;;0762290268;562688;6920771;49,37167;1,10973;Normandie;Seine-Maritime;76;Saint-Étienne-du-Rouvray;76575;1;1;1;1;0;0;0;0;1;2021-03-31;0;0;0;0;1
20801;Orange;00000300Z1;;0612290041;445093;6862449;48,81166;-0,47222;Normandie;Orne;61;Sainte-Honorine-la-Chardonne;61407;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000301R1;;0762290017;557381;6924919;49,40778;1,03528;Normandie;Seine-Maritime;76;Le Grand-Quevilly;76322;1;1;1;1;0;0;0;0;1;2021-03-31;0;0;0;0;1
20801;Orange;00000301Z1;;0502290082;393987;6855553;48,7275;-1,16223;Normandie;Manche;50;Brécey;50074;1;1;1;0;0;0;0;0;0;;0;0;0;0;0
20801;Orange;00000302R1;;0762290357;561686;6926081;49,41917;1,09417;Normandie;Seine-Maritime;76;Sotteville-lès-Rouen;76681;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000303R1;;0762290184;566278;6924117;49,4025;1,15805;Normandie;Seine-Maritime;76;Franqueville-Saint-Pierre;76475;1;1;1;1;0;0;0;0;1;2021-07-30;0;0;0;0;1
20801;Orange;00000303Z1;;0612290043;533482;6829174;48,54139;0,74389;Normandie;Orne;61;Longny les Villages;61230;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000304R1;;0762290182;561022;6931971;49,47195;1,08306;Normandie;Seine-Maritime;76;Mont-Saint-Aignan;76451;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000304Z1;;0142290157;442522;6899484;49,14334;-0,52973;Normandie;Calvados;14;Grainville-sur-Odon;14311;1;1;1;1;0;0;0;0;1;2022-10-25;0;0;0;0;1
20801;Orange;00000306Z1;;0612290048;478038;6853305;48,74167;-0,01917;Normandie;Orne;61;Argentan;61006;1;1;1;1;0;0;0;0;1;2023-05-24;0;0;0;0;1
20801;Orange;00000307Z1;;0502290088;360464;6927420;49,35583;-1,67499;Normandie;Manche;50;Port-Bail-sur-Mer;50412;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000308Z1;;0142290251;430057;6916170;49,28805;-0,7111;Normandie;Calvados;14;Bayeux;14047;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000309Z1;;0612290120;519520;6827458;48,52222;0,55556;Normandie;Orne;61;Mortagne-au-Perche;61293;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000310Z1;;0502290102;365466;6867028;48,81639;-1,55833;Normandie;Manche;50;Saint-Pair-sur-Mer;50532;1;1;1;1;0;0;0;0;1;2021-11-26;0;0;0;0;1
20801;Orange;00000311R1;;0762290318;561502;6927662;49,43333;1,09111;Normandie;Seine-Maritime;76;Rouen;76540;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00001356Z1;;0502290147;402688;6897660;49,10972;-1,07361;Normandie;Manche;50;Saint-Lô;50502;0;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00001438Z1;;0142290219;454404;6905490;49,20195;-0,37055;Normandie;Calvados;14;Caen;14118;0;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00001620Z1;;0502290100;371353;6957062;49,6275;-1,54889;Normandie;Manche;50;Cherbourg-en-Cotentin;50129;1;1;1;1;0;0;0;0;1;2023-10-03;0;0;0;0;1
20801;Orange;00001703R1;;0762290246;583956;6997265;50,06305;1,38083;Normandie;Seine-Maritime;76;Le Tréport;76711;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00001774R1;;0762290181;542124;6976963;49,87167;0,80528;Normandie;Seine-Maritime;76;Veules-les-Roses;76735;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00001782R1;;0762290285;549953;6969080;49,80278;0,91695;Normandie;Seine-Maritime;76;Greuville;76327;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00001788R1;;0762290279;567579;6963570;49,75722;1,16333;Normandie;Seine-Maritime;76;Le Catelier;76162;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00001789Z1;;0142290123;430927;6868316;48,85861;-0,66862;Normandie;Calvados;14;Valdallière;14726;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00001824Z1;;0142290144;459690;6901061;49,16417;-0,29556;Normandie;Calvados;14;Mondeville;14437;1;1;1;1;0;0;0;0;1;2021-05-31;0;0;0;0;1
